APLICACION,DESCRIPCION,ARQUITECTURA,TIPO_APLICACION,CRITICIDAD_RO,ACOPLAMIENTO_CORE,PROVEEDOR,DOMINIO,GRUPO,FRAMEWORK_APLICACION,MOTOR_BASE,SO,OBSOLESENCIA_IDE,OBSOLESCENCIA_BDD,OBSOLESCENCIA_SO,TRANSACCIONALIDAD,TIPO_AUTENTICACION,TPS,REQUIERE_REFACTORIZACION,CRITICIDAD_BASE,TAMAÑO_BASE,OBSOLESCENCIA,EOL_NEXT,REQUIERE DESACOPLAMIENTO,ENUMERAR_COMPONENTES_OBSOLETOS,COMPONENTES_OBSOLETOS,ENUMERAR_COMPONENTES_ECOSISTEMA,MODERNIZA,DECOMIZAR,CONTENERIZAR,NUEVA,TOTAL_VULNERABILIDAES,VULNERABILIDADES_CRITICAS,VULNERABILIDADES_ALTAS,VULNERABILIDADES_MEDIAS,OBSERVACION,CAMBIOS_PROPUESTOS,MANEJA_HISTORICOS,DETALLE_MANEJO_HISTORICOS,NUMERO_USUARIOS_APLICACION,PROMEDIO_TRANSACCIONAL,INFORMACION_SENSIBLE,EXPONE_DMZ,IMPACTO_NEGOCIO,SERVIDORES_APLICACION,SERVIDORES_BDD,BDD,TIENE_INICIATIVA,INICIATIVA,PROGRAMA,AÑO,ACTUALMENTE_NUBE,CANDIDATA_IAAS,CANDIAATA_SAAS,JOURNEY_TO_CLOUD,PRIORIZACION,COMPLEJIDAD,JUSTIFICACION_TECNICA,PONDERACION,EVALUACION MAR / ESCALA,ESTRATEGIA,TIEMPO,COMPLEJIDAD,COSTO-ESTIMADO
PORTALADMINISTRATIVOBGR,Permite realizar tareas de desbloqueo y des logueo de usuarios de siglo 21,WINDOWS,APLICACION WEB,NO,0,BGR,Gestión de Personas,Gestión RRHH,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 STANDARD EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,SI,BAJA,0.14,NO,SI,NO,0,,8,SI,NO,SI,NO,NULL,NULL,NULL,NULL,APLICACION LEGADA EN .NET FRAMEWORK 4.7,MIGRAR A ANGULAR FRONT/POSTGRESS,NO,N/A,2,NULL,N/A,LAN,SI,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;,172.20.1.215-ECBRPRCL13 Q47;,PORTAL_ADMINISTRATIVO_BGR;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código,, Map AWS;Migrar a Postgress, PORTAL_ADMINISTRATIVO, Desacoplar a MSAPI - Front Moderno(Angular)",43.00,,,,,
BGRTUCUENTA,Portal donde se hacen cargas masivas para creación de cuentas,WINDOWS,APLICACION WEB,NO,75,BGR,Canales,Otros Puntos de Servicio,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,0,si,BAJA,2.78,NO,SI,NO,0,,12,NO,NO,SI,NO,NULL,NULL,NULL,NULL,INTEGRARSE NUEVA APLICACIÓN - DIAGRAMAS ARQ,NUEVO MODELO DE GENERACION DE REPORTES Y PLANTILLAS,NO,N/A,1,NULL,N/A,LAN,SI,172.20.115.13-ECBRPRWE27;172.20.115.17-ECBRPRWE31;,172.20.1.214-ECBRPRCL12 Q43;,BDD_BGR_PRODUCTOS;CATALOGOSERVICIOSBGR;,SI,GENERADOR DE PLANTILLAS-CONTRATOS,MODERNIZACION,2027,NO,NA,SI,SI,3,1,"Recomenddo a Nube, Requiere Refactorizacion de código, Migrar a postgress, BDD_BGR_PRODUCTOS-CATALOGOSERVICIOSBGR;Desacoplar a MSAPI - Front Moderno(Angular); Iniciativa - Generador de plantillas y contratos - Modernizacion - 2027",43.00,,,,,
BANCAOFICIALCOM,Permite gestionar depósitos del sector público en cuentas del banco.,WINDOWS,APLICACION WEB,NO,30,BGR,Canales,Otros Puntos de Servicio,PUNTO NET 2017 - FRAMEWORK 4.7.1,ORACLE 19C,MICROSOFT WINDOWS SERVER 2003 STANDARD EDITION,NO,NO,SI,BAJA,SEGUNIXORANSERVICE,0,SI,MEDIA,6175.09,SI,NO,NO,8,ECBRHCF7;ECBRHCP2;ECBRPRW01;ECBRPRW02;ECBRPRW30;ECBRTSW01;ECBRTSW02;,14,NO,SI,NO,SI,21,5,4,12,NUEVO SISTEMA DE ESTRUCTURAS DE NUBE,MIGRAR POR UN NUEVO SISTEMA DE ESTRUCTURAS DE NUBE,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.111-ECBRPRW44;172.20.1.78-ECBRPRW01;172.20.1.79-ECBRPRW02;172.20.42.27-ECBRHCP2;,172.20.42.27-ECBRHCP2;172.20.46.12-ECBRHCF7;,M2D;,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NO,NO,SI,5,1,"Se recomienda programa Journey To Cloud, ya tiene Iniciativa Estructuras Control -2026",42.00,,,,,
ACCIONES Y ACCIONISTAS,"Información de accionistas (direcciones, nombres, teléfonos), transferencias de acciones, reportes para estructuras de la Superintendencia de Bancos. Por medio de la aplicación genera información de la participación de los accionistas.",WINDOWS,APLICACION WEB,NO,30,BGR,Gestión de Información y Procesos,Administración Banco,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 STANDARD EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,2,SI,MEDIA,52.28,NO,SI,NO,1,,17,SI,NO,SI,NO,NULL,NULL,NULL,NULL,APLICACION LEGADA EN .NET FRAMEWORK 4.7,MIGRAR A ANGULAR FRONT/POSTGRESS,NO,N/A,-1,39652,N/A,LAN,SI,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;,172.20.1.213-ECBRPRCL11 Q39;,ACCIONISTAS;ASESORES;SISTEMA_MENU_CENTRALIZADO;,SI,MIGRACION BDD A POSTGRES,EFICIENCIA,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorización de código, Migrar a Postgres;ACCIONISTAS,ASESORES,MENU-CENTRALIZADO; Desacoplar a MSAPI - Front Moderno(Angular)",42.00,,,,,
MYABCM,Genera los cubos de información para proveeduría. Solución para Gestión de Costos y Rentabilidad.,WINDOWS,APLICACION WEB Y WINDOWS,NO,0,ABCOSTING PRODUCTOS Y SERVICIOS,Gestión de Información y Procesos,Administración Banco,PUNTO NET 2019 - FRAMEWORK 4.7.2,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,PROPIO PROVEEDOR,10,NO,MEDIA,1.32,NO,SI,NO,0,,7,NO,NO,SI,NO,NULL,NULL,NULL,NULL,NA,N/A,NO,N/A,-1,198260,N/A,NO APLICA UBICACION,NO,172.20.1.180-ECBRPRW71;,172.20.1.223-ECBRPRLSQ54;,MYABCM;,SI,NA - BAU -SIN- INICIATIVA,BAU,0,NO,NO,SI,SI,1,1,Solicitar a proveedor aplicación SAAS.,39.00,,,,,
RCSA,"Ingreso, carga y actualización de lista de observados",WINDOWS,APLICACION WEB,SI,0,BUSINESSWARE TECNOLOGÍA DE NEGOCIOS CÍA. LTDA.,Gestión Empresarial,"Gestión de Riesgo, Cumplimiento AML y Fraude",PUNTO NET 2019 - FRAMEWORK 4.7.2,MICROSOFT SQL SERVER 2019 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,PROPIO PROVEEDOR,0,NO,BAJA,33.53,NO,NO,NO,0,,5,NO,NO,NO,NO,NULL,NULL,NULL,NULL,JOURNEY TO CLOUD,JOURNEY TO CLOUD,NO,N/A,-1,NULL,N/A,LAN,SI,172.20.1.81-ECBRPRW33;,172.20.1.128-ECBRPRCL19 Q60;,BW_COMPLIANCE;,SI,NA - BAU -SIN- INICIATIVA,BAU,0,NO,SI,NA,SI,1,1,Solicitar a proveedor aplicación SAAS.,38.00,,,,,
MICROSERVICIOS,Corresponde a los microservicios que tiene el Banco para el consumo de sus aplicaciones.,WINDOWS,COMPONENTE,SI,0,BGR,Plataforma Tecnológica,Plataforma Tecnológica,NO APLICA IDE,NO APLICA BASE DE DATOS,NO APLICA SISTEMA OPERATIVO,NO,NO,NO,MEDIA,SEGUNIXORANSERVICE,25,NO,N/A,NULL,NO,SI,NO,0,,0,NO,NO,SI,NO,NULL,NULL,NULL,NULL,Contenerizar en OpenShift (Linux),Contenedores OpenShift OnPremise - Despliegue continuo,NO,N/A,-1,495650,N/A,N/A,NU,,,,SI,NA - BAU -SIN- INICIATIVA,BAU,2027,NO,NO,SI,SI,3,1,"El componente de MSAPIS/se vuelve estratégico en el crecimiento tecnológico del Banco, habilitando la modernización progresiva del portafolio de aplicaciones y acelerando el delivery d WebAPI en .NET Core 8 requieren ejecutarse en contenedores Linux dentro de OpenShift para garantizar una plataforma moderna, eficiente y altamente escalable.e soluciones críticas. ",38.00,,,,,
BGRSEGURIDADCENTRALAPI,Generador de token de autenticación nueva centralizada,MULTIPLATAFORMA,MICROSERVICIO,NO,0,BGR,Canales,Sucursal (WebPichinchaCom),PUNTO NET 2022 NET CORE 8.0,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,N/A,SEGUNIXORANSERVICE,0,N/A,N/A,NULL,NO,SI,NO,0,,3,NO,NO,SI,NO,NULL,NULL,NULL,NULL,Actualizar Net >=8.0,Se Mantiene Microservicio para generar phanton token para la  nueva centralizada,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.154-ECBRPRW85;172.20.1.247-ECBRPRW72;,,,SI,NA - BAU -SIN- INICIATIVA,BAU,2028,NO,NA,SI,SI,1,1,"MSAPI componente estrategico, requiere previamente contenerización Linux.",38.00,,,,,
BGRACCESOSERVICIOSAPI,Servicio de autenticación de aplicacion APIREST generar phantom token bgr,MULTIPLATAFORMA,MICROSERVICIO,NO,0,BGR,Canales,Sucursal (WebPichinchaCom),PUNTO NET 2022 NET CORE 8.0,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,N/A,API KEY BGR,159.92,N/A,N/A,NULL,NO,SI,NO,0,,4,NO,NO,SI,NO,NULL,NULL,NULL,NULL,Actualizar Net >=8.0,Se Mantiene Generador de tokens de aplicaciones para API-REST,NO,N/A,-1,90286140,N/A,LAN,NO,172.20.1.120-ECBRPRW77;172.20.1.143-ECBRPRW76;,,,SI,CORE DIGITAL,MODERNIZACION,2026,NO,NA,SI,SI,1,1,"Este componente represernta a MSAPIS se vuelve estratégico en el crecimiento tecnológico del Banco, habilitando la modernización progresiva del portafolio de aplicaciones y acelerando el delivery d WebAPI en .NET Core 8 requieren ejecutarse en contenedores Linux dentro de OpenShift para garantizar una plataforma moderna, eficiente y altamente escalable.e soluciones críticas. ",38.00,,,,,
PORTALARQUITECTURABGR,Portal de arquitectura de BGR,WINDOWS,APLICACION WEB,NO,0,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 STANDARD EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,SI,BAJA,0.14,NO,SI,NO,0,,7,SI,NO,SI,NO,NULL,NULL,NULL,NULL,NULL,MIGRAR A ANGULAR FRONT/POSTGRESS,NO,N/A,-1,NULL,N/A,LAN,NO,,172.20.1.215-ECBRPRCL13 Q47;,PORTAL_ADMINISTRATIVO_BGR;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código, Map AWS;Migrar a Postgress, PORTAL_ADMINISTRATIVO, Desacoplar a MSAPI - Front Moderno(Angular)",37.00,,,,,
DCNET CÁMARA,Sistema de captura y procesamiento de documentos (papeletas de  depósitos y cheques) en el BackOffice de las sucursales del Banco y en Operaciones TCS.|Reemplaza al sistema de Canje.,WINDOWS,APLICACION WEB Y WINDOWS,NO,75,SOLSOFT CIA. LTDA.,Canales,Caja (WebTeller BGR),PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,ALTA,PROPIO PROVEEDOR,4,NO,MEDIA,973.48,NO,SI,SI,0,,20,SI,NO,NO,NO,NULL,NULL,NULL,NULL,CAMARA DE COMPENSACION DESACOPLADA,NUEVA ARQUITECTURA DE CAMARA DE COMPENSACION,SI,"4-Bases:CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999",2,79304,N/A,LAN,SI,172.20.1.140-ECBRPRKW01;172.20.1.144-ECBRPRKF01;172.20.115.10-ECBRPRKC01;172.20.115.11-ECBRPRKC02;,172.20.1.128-ECBRPRCL19 Q60;172.20.1.214-ECBRPRCL12 Q43;172.20.1.96-ECBRPRQ45;,BGR_DCNET_CAMARA;BGR_DCNET_CITI;CANJE;,SI,CAMARA DE COMPENSACION,MODERNIZACION,2028,NO,SI,NO,SI,1,1,"Recomendado a Nube, Requiere desacoplamiento, se encuentra en iniciativa 2028 - Camara Compensación.",37.00,,,,,
